address	vendor
0060CE	ACCLAIM COMMUNICATIONS
001F2A	ACCM
0019F6	Acconet (PTE)
0040E9	ACCORD SYSTEMS
0090CA	ACCORD VIDEO TELECOMMUNICATIONS
BC3E13	Accordance Systems
000260	Accordion Networks
0023BB	Accretech SBS
0014A0	Accsense
B8616F	Accton Technology Corp
0012CF	Accton Technology Corp
0030F1	Accton Technology Corp
0004E3	Accton Technology Corp
0010B5	Accton Technology Corp
0000E8	ACCTON TECHNOLOGY CORP
AC81B5	Accton Technology Corporation
000E13	Accu-Sort Systems
006095	ACCU-TIME SYSTEMS
307A57	Accuenergy (CANADA)
ECC38A	Accuenergy (CANADA)
9C1FDD	Accupix
000F36	Accurate Techhnologies
1C3A4F	AccuSpec Electronics, LLC
000612	Accusys
0018ED	Accutech Ultrasystems Co.
98E165	Accutome
909F43	Accutron Instruments
A0218B	ACE Antenna Co.
002424	Ace Axis Limited
001B58	ACE CAD Enterprise Co.
10C9CA	Ace Technology Corp
0005B4	Aceex Corporation
0017AD	AceNet Corporation
001847	AceNet Technology
D4C766	Acentic GmbH
1806FF	Acer Computer(Shanghai) Limited
C09879	Acer
000124	Acer Incorporated
006067	ACER NETXUS
00A060	ACER PERIPHERALS
0000E2	ACER TECHNOLOGIES CORP
4C9D22	ACES
7CB542	ACES Technology
00D11C	ACETEL
0017B1	ACIST Medical Systems
C40E45	ACK Networks
00E093	ACKFIN NETWORKS
000990	ACKSYS Communications & systems
7453A8	ACL Airshop BV
001D24	Aclara Power-Line Systems
00192B	Aclara RF Systems
6C5779	Aclima
000C60	ACM Systems
000825	Acme Packet
00D073	ACN ADVANCED COMMUNICATIONS
000405	ACN Technologies
001952	ACOGITO Co.
409505	ACOINFO TECHNOLOGY
F00DF5	ACOMA Medical Industry Co,.
000371	Acomz Networks Corp
002630	ACOREL S.A.S
0000A4	ACORN COMPUTERS LIMITED
000875	Acorp Electronics Corp
0C1A10	Acoustic Stream
00057F	Acqis Technology
0002D5	ACR
006007	ACRES GAMING
68A2AA	Acres Manufacturing
00D06D	ACRISON
7CC8AB	Acro Associates
0014EC	Acro Telecom
00D05B	ACROLOOP MOTION CONTROL
0001C3	Acromag
2CA157	acromate
04E662	Acroname
0004FF	Acronet Co.
0002B6	Acrosser Technology Co.
000447	Acrowave Systems Co.
001EE4	ACS Solutions France
00175B	ACS Solutions Switzerland
9C65FA	AcSiP
8CB864	AcSiP Technology Corp
5CE2F4	AcSiP Technology Corp
581243	AcSiP Technology Corp
9C65F9	AcSiP Technology Corp
0026FC	AcSiP Technology Corp
689C5E	AcSiP Technology Corp
68B8D9	Act KDE
98FD74	ACT
000BE9	Actel Corporation
000385	Actelis Networks
FC09D8	ACTEON Group
000711	Acterna
000F7C	ACTi Corporation
001002	ACTIA
C4F839	Actia Automotive
38A95F	Actifio
F03D29	Actility
50A054	Actineon
00079F	Action Digital
0009B9	Action Imaging Solutions
00249B	Action Star Enterprise Co.
705EAA	Action Target
001B03	Action Technology (SZ) Co.
A04025	Actioncable
D0C0BF	Actions Microelectronics
FC1928	Actions Microelectronics
F44EFD	Actions Semiconductor Co.,(Cayman Islands)
5C35FC	Actiontec Electronics
7058A4	Actiontec Electronics
00BC2F	Actiontec Electronics
FC2BB2	Actiontec Electronics
A0A3E2	Actiontec Electronics
181BEB	Actiontec Electronics
207600	Actiontec Electronics
001801	Actiontec Electronics
84E892	Actiontec Electronics
70F220	Actiontec Electronics
E86FF2	Actiontec Electronics
9C1E95	Actiontec Electronics
10785B	Actiontec Electronics
105F06	Actiontec Electronics
F8E4FB	Actiontec Electronics
A83944	Actiontec Electronics
001F90	Actiontec Electronics
001EA7	Actiontec Electronics
941C56	Actiontec Electronics
0020E0	Actiontec Electronics
002662	Actiontec Electronics
4C8B30	Actiontec Electronics
408B07	Actiontec Electronics
001505	Actiontec Electronics
000FB3	Actiontec Electronics
00247B	Actiontec Electronics
0C6127	Actiontec Electronics
70F196	Actiontec Electronics
0026B8	Actiontec Electronics
109FA9	Actiontec Electronics
007F28	Actiontec Electronics
002015	ACTIS COMPUTER SA
000E5F	activ-net GmbH & Co. KG
001A32	ACTIVA MULTIMEDIA
D8094E	Active Brains
D05875	Active Control Technology
006025	ACTIVE IMAGING PLC
0030A5	ACTIVE POWER
000591	Active Silicon
0022C1	Active Storage
000A2C	Active Tchnology Corporation
0001DC	Activetelco
A45E5A	ACTIVIO
001203	ActivNetworks
44EA4B	Actlas
8CCDA2	ACTP
001196	Actuality Systems
5CFAFB	Acubit
009037	ACUCOMM
006033	ACUITY IMAGING
00021F	Aculab PLC
74ECF1	Acumen
F0FDA0	Acurix Networks Pty
ECB106	Acuro Networks
00C0C3	ACUSON COMPUTED SONOGRAPHY
00D0F9	ACUTE COMMUNICATIONS CORP
A0B662	Acutvista Innovation Co.
703187	ACX GmbH
0050D5	AD SYSTEMS CORP
106FEF	Ad-Sol Nissin Corp
001340	AD.EL s.r.l
002716	Adachi-Syokai Co.
9876B6	Adafruit
001D64	Adam Communications Systems Int
000AEA	ADAM ELEKTRONIK  ŞTI
C0A8F0	Adamson Systems Engineering
186D99	Adanis
000287	Adapcom
10C65E	Adapt-IP
0013DE	Adapt4, LLC
0000D1	ADAPTEC INCORPORATED
044F8B	Adapteva
000FB9	Adaptive Instruments
000E12	Adaptive Micro Systems
001A0A	Adaptive Micro-Ware
001D4D	Adaptive Recognition Hungary
78028F	Adaptive Spectrum and Signal Alignment (ASSIA)
008027	ADAPTIVE SYSTEMS
A44E2D	Adaptive Wireless Solutions, LLC
001261	Adaptix
F0F5AE	Adaptrum
00200C	ADASTRA SYSTEMS CORP
707C18	ADATA Technology Co.
1062C9	Adatis GmbH & Co. KG
000710	Adax
A4B2A7	Adaxys Solutions AG
0011C0	Aday Technology
D4D184	ADB Broadband Italia
A04FD4	ADB Broadband Italia
00A02F	ADB Broadband Italia
00238E	ADB Broadband Italia
001D8B	ADB Broadband Italia
0013C8	ADB Broadband Italia
DC0B1A	ADB Broadband Italia
842615	ADB Broadband Italia
F0842F	ADB Broadband Italia
E874E6	ADB Broadband Italia
002553	ADB Broadband Italia
00193E	ADB Broadband Italia
000827	ADB Broadband Italia
A45DA1	ADB Broadband Italia
6487D7	ADB Broadband Italia
38229D	ADB Broadband Italia
A4526F	ADB Broadband Italia
74888B	ADB Broadband Italia
008C54	ADB Broadband Italia
D0D412	ADB Broadband Italia
001CA2	ADB Broadband Italia
002233	ADB Broadband Italia
3039F2	ADB Broadband Italia
0017C2	ADB Broadband Italia
105AF7	ADB Italia
8C59C3	ADB Italia
004016	ADC - Global Connectivity Solutions Division
3C69D1	ADC Automotive Distance Control System GmbH
0080DF	ADC CODENOLL TECHNOLOGY CORP
00004A	ADC CODENOLL TECHNOLOGY CORP
EC42B4	ADC Corporation
0009E7	ADC Techonology
001734	ADC Telecommunications
00249E	ADC-Elektronik GmbH
0004D2	Adcon Telemetry GmbH
28F532	ADD-Engineering BV
001385	Add-On Technology Co.
847616	Addat s.r.o
882BD7	ADDÉNERGIE TECHNOLOGIES
000F58	Adder Technology Limited
000F6C	ADDI-DATA GmbH
C00D7E	Additech
001296	Addlogix
000F85	ADDO-Japan Corporation
44D5A5	AddOn Computer
0050C8	Addonics Technologies
0002A4	AddPac Technology Co.
404A18	Addrek Smart Solutions
004033	ADDTRON TECHNOLOGY CO.
000B68	Addvalue Communications Pte
001A9B	ADEC & Parter AG
